latitude	longitude	depth	LITH	Fe	Th	U	P
1304.863397	74710.84587	-420.0168083	A	-2.83	-3.55	-2.2	-0.6
1304.875714	74710.84154	-420.0471162	A	-1.36	-1.43	-1.48	-1.97
1304.887496	74710.83741	-420.0760367	A	-2.03	-0.91	-1.79	-1.01
1304.899862	74710.83307	-420.1063224	A	-1.43	-5.58	-2.96	-2.31
1304.912803	74710.82849	-420.1379739	A	-4.31	-1.71	-1.43	-2.26
1304.925204	74710.82411	-420.1682407	A	-3.61	-1.99	-3.91	-0.4
1303.909346	74710.44591	-420.0229534	A	-2.11	-2.45	-1.11	-2.1
1303.926582	74710.42777	-420.0502101	A	-2.37	-3.83	-1.57	-2.33
1303.943804	74710.40963	-420.0774759	A	-3.1	-3.08	-1.04	-1.67
1303.960991	74710.39145	-420.104735	A	-0.91	-1.49	-1.59	-3.88
1303.978174	74710.37328	-420.132003	A	-3.56	-3.76	-0.94	-3.96
1303.469077	74710.1591	-420.0621002	A	-0.75	-3.27	-1.93	-4.01
1303.483477	74710.14526	-420.0843477	A	-2.74	-5.34	-0.68	-2.31
1303.448444	74710.17963	-420.0683578	A	-2.96	-1.47	-2.62	-2.98
1302.943955	74709.95222	-420.100549	A	-1.1	-3.93	0.05	-1.71
1302.95562	74709.93833	-420.1185425	B	1.38	-0.77	0.3	-1.11
1302.95847	74709.93493	-420.1229473	B	-0.37	0.83	0.14	-2.21
1302.926183	74709.97265	-420.101999	A	-2.23	-3	-1.04	-1.06
1302.933407	74709.96375	-420.1273796	A	-3.31	-1.51	-3.25	-1.35
1302.948246	74709.94546	-420.1795078	B	0.36	-1.02	0.7	0.04
1302.95058	74709.94259	-420.1877097	B	-1.41	-0.49	-0.36	0.3
1302.283235	74709.91884	-420.216332	A	-2.14	-2.34	-2.77	-4.28
1302.290982	74709.91059	-420.2451906	A	-0.36	-2.67	-0.58	-2.78
1302.298723	74709.90232	-420.2740475	A	-1.86	-2.17	-2.5	-1.84
1302.306391	74709.89408	-420.3028791	A	-2.45	-2.76	-1.27	-1.98
1302.313969	74709.88586	-420.3317379	A	-3.34	-1.59	-4.28	-3.14
1302.32164	74709.87753	-420.3605946	A	-2.86	-1.68	-3.8	-1.37
1302.329336	74709.86917	-420.389437	A	-1.57	-2.63	-3.5	-1.63
1302.674627	74708.68002	-420.174728	A	-0.66	-4.36	-1.99	-3.35
1302.685432	74708.66823	-420.1901987	A	-1.69	-0.65	-0.18	-2.97
1302.660887	74708.69554	-420.1855533	A	-0.71	-2.96	-2.51	-2.56
1302.670377	74708.68567	-420.2170026	A	-1.28	-0.84	-3.6	-2.59
1302.319234	74709.07945	-420.2335978	A	-1.03	-3.56	-2.76	-1.85
1302.327278	74709.07033	-420.2621134	A	-2.65	-2.4	-0.77	-1.14
1302.33526	74709.06135	-420.2899859	A	-1.24	-2.25	-2.75	-1.04
1302.343547	74709.05202	-420.3187977	A	-3.61	-0.94	-3.42	-2.7
1302.351942	74709.0426	-420.3478248	A	-1.78	-1.96	-2.79	-2.41
1302.167328	74708.46587	-420.3032433	A	-3.49	-1.95	-1.01	-2.84
1302.179649	74708.45091	-420.330813	A	-2.84	-1.92	-2.55	-2.66
1302.191922	74708.43593	-420.3583926	A	-3.06	-1.27	-0.05	-3.59
1302.204126	74708.42092	-420.3859896	A	-2.53	-2.5	-2.41	-0.9
1302.216253	74708.40592	-420.4135631	A	-0.89	-0.77	-1.58	-2.59
1302.228337	74708.39091	-420.4411505	A	-0.99	-3.39	-2.71	-1.31
1302.240366	74708.37588	-420.4688061	A	-1.94	-2.36	-4.99	-1.71
1302.2523	74708.36082	-420.4964951	A	-2.57	-0.55	-1.3	-1.01
1301.908577	74708.78755	-420.370132	A	-0.14	-3.43	-3.27	-3.21
1301.919211	74708.77383	-420.400753	A	-1.89	-4.91	-3.01	-3.16
1301.929792	74708.7601	-420.4313886	A	-3.31	-1.08	-2.32	-0.78
1301.940301	74708.74638	-420.4620541	A	-1.45	-3.15	-1.74	-1.42
1301.950768	74708.73267	-420.4927395	A	-2.54	-3.69	-2.18	-0.75
1301.893389	74708.01316	-420.4233448	A	-1.46	-4.35	-0.39	-1.55
1301.908228	74707.99665	-420.4470133	A	-1.91	-2.83	-1.51	-2.14
1301.922939	74707.98024	-420.4705604	A	-3.39	-1.19	-1.67	-2.12
1301.937705	74707.96369	-420.494315	A	-4.25	-2.55	-1.33	-2.15
1301.952466	74707.94702	-420.5181971	A	-3.81	-2.11	-2.07	-3.63
1301.967108	74707.93044	-420.5419393	A	-1.96	-2.14	-2.14	-3.64
1301.981725	74707.91381	-420.5657303	A	-1.52	-3.12	-3.27	-2.82
1301.996278	74707.89719	-420.589499	A	-3.35	-3.41	-0.29	-3.23
1302.010795	74707.88054	-420.6132719	A	-1.53	-2.33	-2.53	-2.21
1302.025319	74707.86386	-420.6370855	A	-2.24	-1.59	-1.62	-2.98
1302.039804	74707.84719	-420.6608571	A	-1.54	-3.06	-1.74	-1.9
1302.054262	74707.8305	-420.6846354	A	-3.72	-2.05	0.14	-3
1302.061801	74707.82177	-420.6970603	A	-2.65	-3.5	-3.73	-3.33
1301.580654	74708.3795	-420.4538625	A	-2.67	-1.42	-3.69	-1.57
1301.59232	74708.36663	-420.4848225	A	-1.84	-2.18	-2.33	-2.02
1301.603889	74708.35395	-420.5153255	A	-1.9	-2.7	-1.25	-0.77
1301.615261	74708.34145	-420.5454057	A	-4.27	-1.86	-2.75	-2.22
1301.626766	74708.32879	-420.5759376	A	-3.68	-3.86	-2.62	-2.69
1301.638042	74708.31634	-420.6059598	A	-2.45	-3.52	-3.19	-2.72
1300.600107	74708.74187	-420.558734	A	-2.71	-0.76	-1.51	-2.27
1300.892065	74707.7611	-420.5880738	A	-3.36	-1.29	-0.71	-1.99
1300.919681	74707.72914	-420.6306869	A	-2.04	-2.47	-3.37	-1.66
1300.933478	74707.71312	-420.6519679	A	-3.06	-2.96	-1.14	-1.11
1300.862147	74707.7984	-420.589561	A	-1.87	-1.44	-0.67	-1.78
1300.684898	74707.37777	-420.6872368	A	-3.59	-2.44	-2.4	0.03
1300.701474	74707.35889	-420.7118953	A	-3.32	-3.22	-2.43	-2.84
1300.718051	74707.33994	-420.7364896	A	-1.77	-2.72	-2.92	-1.54
1300.649342	74707.41649	-420.6898303	A	-3.16	-0.7	-1.65	-2.12
1300.657613	74707.4066	-420.717968	A	-3.47	-2.29	-1.32	-1.18
1299.88136	74708.43411	-420.611548	C	2.7	2.66	1.76	1.96
1299.88394	74708.42542	-420.6244304	C	2.3	1.41	3.09	2.54
1299.887783	74708.41244	-420.64364	D	-1.16	0.69	-1.34	0.05
1299.891782	74708.39903	-420.6634424	D	-2.52	-2.26	-1.77	-2.97
1299.894423	74708.3902	-420.676521	D	-3.29	-1.5	-1.07	0.25
1299.896277	74708.38401	-420.6857307	A	-3.18	-2.8	-1.69	-1.42
1299.897677	74708.37934	-420.6926946	D	-3.85	-2.03	-0.59	-1.48
1299.90027	74708.3707	-420.7056077	A	-1.34	-2.73	-3.05	-1.94
1299.903653	74708.35947	-420.7224185	D	-3.43	-0.54	-1.75	-1.46
1299.906895	74708.34876	-420.7383892	D	-1.38	-0.64	-0.15	-2.59
1299.909389	74708.34052	-420.7506733	A	-1.91	-3.86	-3.29	-2.19
1299.912461	74708.33037	-420.7658298	A	-2.22	-1.69	-3.31	-4.09
1299.91569	74708.31969	-420.7818238	A	-2.19	-3.18	-1.88	-1.29
1299.918178	74708.31148	-420.7941288	D	-2.04	-1.38	-1.22	-2.82
1299.921439	74708.30078	-420.8101053	D	1.06	-3.27	-2.48	-1.95
1299.924283	74708.29144	-420.8240204	D	-1.09	0.02	-0.8	-0.93
1299.928113	74708.27879	-420.8428388	A	-2.53	-2.47	-2.64	-1.73
1299.93164	74708.26711	-420.8602421	C	4.15	1.68	0.96	1.86
1299.933793	74708.25997	-420.8708899	E	-3.05	-2.51	-1.86	-2.09
1299.937389	74708.24801	-420.888694	E	-3.7	-4.31	-1.81	-2.21
1299.94077	74708.23667	-420.9054381	E	-2.74	-2.24	-1.39	-1.82
1299.943804	74708.22643	-420.920539	E	-1.19	-2.81	-1.81	0.03
1299.947785	74708.21287	-420.9405561	E	-1.9	-1.08	-4.31	-1.3
1299.951193	74708.20125	-420.9577136	E	-0.66	-3.58	-2.38	-2.84
1299.953216	74708.19432	-420.9679159	E	-2.29	-0.28	-3.29	-2.7
1299.955875	74708.18514	-420.9813638	E	-3.11	0.11	-2.25	-1.7
1299.959886	74708.17119	-421.0017213	E	-3.17	-2.73	-3.54	-2.79
1299.963113	74708.15988	-421.0182069	E	-2.35	-2.93	-1.33	-2.92
1299.965012	74708.15318	-421.0279781	F	0.85	2.37	-0.59	1.34
1299.967183	74708.14549	-421.0391707	A	-2.67	-2.2	-3.58	-1.5
1299.971127	74708.13149	-421.0594988	A	-2.17	-2.51	-3.21	-0.88
1299.974729	74708.11853	-421.0781546	B	0.14	1.79	-0.77	-2.42
1299.977308	74708.10921	-421.0915279	A	-1.44	-3.16	-2.59	-2.05
1299.980205	74708.09878	-421.106529	A	-2.33	-1.95	-2.63	-3.14
1299.982468	74708.0906	-421.1182865	E	-1.11	-1.27	-2.06	-2.15
1299.985342	74708.08015	-421.1332803	E	-2.52	-2.29	-2.58	-3.61
1299.98993	74708.06341	-421.1571287	E	-1.13	-2.89	-2.82	-3.26
1299.994555	74708.04633	-421.1813601	E	-1.61	-4.36	-2.1	-2.29
1299.999131	74708.02925	-421.2055904	E	-3.05	-2.32	-1	-2.03
1300.003719	74708.01207	-421.2297555	E	-2.31	-2.55	-1.62	-4.14
1300.006817	74708.00044	-421.2460405	E	-3.46	-1.83	-0.82	-1.45
1300.009112	74707.99183	-421.258106	D	0.79	-0.92	-2.71	-3.95
1300.012369	74707.97966	-421.2752207	D	-2.63	-1.38	-3.79	-0.76
1300.015062	74707.96962	-421.2892978	E	-2.15	-1.85	-1.93	-2.09
1300.018189	74707.95796	-421.3055533	E	-1.8	-1.67	-3.4	-3.16
1300.022562	74707.94163	-421.3281887	C	1.77	3.63	1.77	2.57
1300.026167	74707.92805	-421.3470266	A	-2.59	-2.87	-1.42	-1.82
1300.028996	74707.91734	-421.3618456	C	0.81	2.68	1.82	2.94
1300.032014	74707.90588	-421.37764	E	-1.67	-1.39	-2.55	-2.24
1300.035486	74707.8926	-421.3957863	E	-2.08	-2.08	-2.59	-2.2
1300.037778	74707.88384	-421.4077445	A	-2.99	-4.48	-2.77	-2.02
1300.038619	74707.88063	-421.4121297	A	-1.69	-3.4	-3.85	-2.55
1300.041291	74707.87042	-421.4260893	E	-0.59	-2.26	-1.6	-3.86
1300.045726	74707.85338	-421.4494457	E	-1.33	-0.73	-1.59	-1.08
1300.049562	74707.83865	-421.4695884	D	-1.93	-3.03	-0.39	-1.29
1300.05194	74707.82943	-421.4821407	E	-3.1	-2.3	-4.32	-2.06
1300.054904	74707.81788	-421.4978781	D	-0.18	-2.94	-1.5	-0.6
1300.059387	74707.80035	-421.5218115	D	-2.21	-1.23	-2.36	-0.31
1300.063824	74707.78281	-421.5457402	D	-3.87	-0.88	-2.46	-1.47
1300.068322	74707.7648	-421.5702552	D	-0.52	-1.35	-1.96	-0.96
1300.072945	74707.74627	-421.5956169	D	-2.95	-1.9	-2.01	-2.7
1300.077202	74707.72905	-421.6191901	A	-1.71	-2.38	-1.98	-3.21
1300.081279	74707.71253	-421.6417419	A	-1.49	-2.76	-2.48	-3.73
1300.084665	74707.69867	-421.6607306	A	-3.6	-3	-3.09	-1.87
1300.086361	74707.69169	-421.6703388	A	-3.48	-1.04	-1.98	-2.61
1300.087205	74707.6882	-421.6751464	A	-0.57	-3.34	-3.8	-1.77
1300.088786	74707.68166	-421.6841647	A	-1.75	-1.02	-2.41	-1.91
1300.090896	74707.67294	-421.6961881	D	-0.35	-2.7	-1.22	-3.11
1300.093959	74707.6603	-421.7136169	D	-1.63	-1.24	-1.52	-1.13
1300.097493	74707.6456	-421.7338401	D	-1.78	-3	-1.72	-1.44
1300.100946	74707.63108	-421.7539006	A	-2	-3.1	-1.68	-4.79
1300.10427	74707.61704	-421.7733856	A	-3.26	-3.69	0.73	-3.02
1300.107007	74707.60544	-421.7894529	D	-2.01	0.78	-2.43	-2.56
1300.110494	74707.59064	-421.809921	D	0.25	-0.56	-1	-0.35
1300.114556	74707.57327	-421.8340425	D	-1.44	-1.95	-0.58	-0.07
1300.118566	74707.55595	-421.8582025	D	-1.55	-0.57	-0.79	-3.12
1300.122572	74707.53859	-421.8823404	D	-0.8	-1.16	-2.62	-1.39
1300.126509	74707.52126	-421.9065078	A	-2.02	0.31	-2.1	-2.44
1300.130389	74707.50414	-421.9305309	D	-1.57	-1.45	-1.74	-1.52
1300.134288	74707.48687	-421.9547495	D	-1.81	-1.36	-1.66	-3.81
1300.138179	74707.46944	-421.979164	D	0.12	-1.11	-1.78	-1.76
1300.141999	74707.45221	-422.0034241	D	-0.49	-1.05	-1.25	-2.55
1300.145813	74707.43499	-422.0276907	D	-4.28	0.21	-1.82	-1.16
1300.148648	74707.42218	-422.0456655	D	-2.79	-0.97	-1.99	-1.77
1300.150565	74707.41357	-422.0577966	D	-1.99	-1.38	-1.95	-2.03
1300.153478	74707.40056	-422.0762271	D	-0.82	-0.45	-1.15	-1.81
1300.156034	74707.38914	-422.0924472	D	-1.56	-3.07	-1.34	-2.1
1300.157952	74707.38057	-422.1046073	E	-3.31	-1.18	-0.57	-3.94
1300.16115	74707.36626	-422.1248572	E	-0.55	-1.16	-2.16	-1.85
1300.164962	74707.34911	-422.1491718	E	-2.74	-2.31	-2.52	-2.62
1300.167402	74707.33814	-422.1648051	E	-0.98	-1.96	-1.39	-3
1300.169297	74707.3296	-422.1769862	C	1.74	-0.14	3.88	2.96
1300.171846	74707.31804	-422.1934158	D	-1.1	-1.5	-1.3	-1.93
1300.174285	74707.30704	-422.209024	C	0.03	0.22	1.96	2.48
1300.176637	74707.29648	-422.2240293	D	-1.62	0.08	-2.87	-2.21
1300.179548	74707.28338	-422.2427142	C	0.03	2.26	1.91	1
1300.182186	74707.27144	-422.2597845	D	-2.51	-2.11	-0.95	-2.32
1300.184409	74707.26134	-422.2742079	E	-1.52	-1.76	-0.52	-0.76
1300.186975	74707.24965	-422.2908543	E	-1.66	-1.89	-2.2	-2.55
1300.189791	74707.23685	-422.3091445	C	0.63	2.52	1.66	2.42
1300.193093	74707.22181	-422.330708	A	-2.41	-1.96	-3.68	-1.72
1300.196523	74707.20619	-422.3530796	C	2.23	1.6	2.29	1.32
1300.200068	74707.19013	-422.3760544	C	1.29	3.03	4.07	2.1
1300.202416	74707.17951	-422.3913255	G	0.78	1.88	0	0.15
1300.204571	74707.16977	-422.4054004	C	1.69	1.47	4.35	1.3
1300.207228	74707.15779	-422.4227478	D	-0.61	-1.42	-0.99	-0.14
1300.210168	74707.14453	-422.4419224	D	-1.81	-0.62	-1.46	-0.9
1300.213335	74707.13015	-422.4627398	D	-2.74	-2.14	-1.32	-2.24
1300.215987	74707.11807	-422.4803286	D	-0.84	-1.34	-2.75	-2.72
1300.218844	74707.10503	-422.4993647	D	-0.88	-1.37	-1.11	-2.57
1300.220867	74707.09577	-422.5128716	C	1.87	2.41	2.15	2.46
1300.221511	74707.09282	-422.5171686	C	1	2.45	2.89	1.8
1300.222369	74707.08889	-422.5228972	C	1.18	1.98	2.89	2.5
1300.224936	74707.07711	-422.5400875	C	4.85	2.61	2.53	1.56
1300.227691	74707.06438	-422.5587382	C	1.27	2.86	2.06	3.14
1300.229105	74707.05781	-422.5683807	G	-0.84	1.81	2.05	0.12
1300.230484	74707.05139	-422.5778238	D	-1.91	-1.01	-0.9	-2.52
1300.23267	74707.0412	-422.5928042	D	-1.47	-1.37	-2.7	0.97
1300.23575	74707.0268	-422.6139236	D	-1.58	-3.82	0.2	-2.59
1300.238487	74707.01396	-422.6328085	D	0.11	-0.87	-3.25	-1.69
1300.240907	74707.00254	-422.6496615	C	2.1	2.94	0.87	1.41
1300.24349	74706.99028	-422.6677477	C	3.62	2.83	2.13	2.11
1300.24636	74706.97659	-422.6878639	C	0	1.08	1.3	3.41
1300.249884	74706.95985	-422.7125036	C	2.86	0.69	3.23	4.04
1300.253411	74706.94318	-422.7371955	C	2.36	2.37	1.43	0.2
1300.256267	74706.92971	-422.7571617	C	2.48	1.52	1.93	1.83
1300.258484	74706.91914	-422.7727928	C	3.55	1.66	0.79	2.45
1300.260874	74706.9076	-422.7898687	C	0.65	1.94	2.96	2.49
1300.263481	74706.89485	-422.8088319	C	1.07	2.81	1.34	2.88
1300.265273	74706.88599	-422.8220332	C	0.27	2.54	2.18	1.84
1300.267276	74706.87601	-422.836882	D	-2.4	-2.03	-1.69	-1.7
1300.269742	74706.86365	-422.855217	D	-0.7	-1.71	-2.46	-1.99
1300.271688	74706.8538	-422.8698542	D	-0.51	-2.45	-2.39	-2.85
1300.274047	74706.84176	-422.8878115	D	-1.29	-0.73	-2.74	-2.07
1300.276974	74706.82669	-422.9103291	D	-0.27	-2.64	0.08	-0.12
1300.280165	74706.81005	-422.9350851	D	-0.68	-2.32	-0.66	-2.61
1300.282782	74706.79631	-422.9555032	D	-2.39	-2.51	-1.37	-1.58
1300.284801	74706.78565	-422.9714054	A	-2.34	-1.04	-1.63	-2.21
1300.286605	74706.77612	-422.9856674	E	-0.79	-2.32	-0.92	-3.61
1300.288621	74706.76548	-423.0015826	D	-2.32	-1.74	0.37	-0.15
1300.290925	74706.7533	-423.01976	D	-0.67	-2.25	-0.93	-0.68
1300.29249	74706.74499	-423.0321512	C	2.98	2.19	0.84	4.86
1300.29456	74706.73394	-423.0486908	C	1.44	2.04	1.88	2.13
1300.297395	74706.71879	-423.0714626	C	1.27	4.5	1.46	3.05
1300.299507	74706.70749	-423.0884396	C	0.43	3.33	3.5	2.07
1300.300718	74706.701	-423.0981612	C	2.75	3.39	3.38	1.84
1300.302593	74706.69093	-423.113264	C	1.65	1.05	2.16	1.14
1300.30487	74706.67867	-423.1316925	C	2.28	3.26	3.29	3.3
1300.306371	74706.67056	-423.1439204	G	0.68	1.21	1.63	-0.07
1300.308019	74706.66163	-423.157397	D	-2.38	-2.41	0.73	-1.72
1300.309465	74706.6538	-423.1692115	H	0.35	0.55	-1.48	1.34
1300.311362	74706.64349	-423.1847564	D	-1.76	-0.6	-1.58	-2.28
1300.313297	74706.63291	-423.2007228	D	0.2	-2.05	-1.5	-2
1300.314794	74706.62469	-423.2131793	C	-1.2	2.64	2.79	1.17
1300.316752	74706.61389	-423.2296009	C	3.52	1.71	3.57	0.41
1300.319184	74706.60035	-423.2501768	C	0.64	0.93	2.71	1.27
1300.321519	74706.58719	-423.2701111	D	-0.41	-1.31	-1.98	-1.33
1300.323461	74706.57609	-423.2869322	D	-1.23	-3.18	-0.45	-0.52
1300.325834	74706.56228	-423.3079379	D	-3.89	-2.43	-1.65	-0.3
1300.328633	74706.5459	-423.3329194	D	-0.44	-3.02	-1.5	-1.5
1300.331427	74706.5295	-423.357882	D	-0.73	-2.42	-1.26	-3.95
1300.334112	74706.51355	-423.3822521	D	-2.46	-0.51	-1.31	-0.48
